Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month
702,21-May-23,CUST702,Female,60,Clothing,2,300,600,Jul
272,25-02-2023,CUST272,Female,-12,Electronics,2,50,100,Feb
132,10-09-2023,CUST132,Male,42,Electronics,4,-10,200,Sep
479,24-08-2023,CUST479,Male,52,Electronics,4,300,1200,Aug
753,28-02-2023,CUST753,Female,32,Clothing,1,30,30,Feb
836,19-04-2023,CUST836,Female,22,Clothing,1,50,50,Apr
114,22-07-2023,CUST114,,22,Beauty,4,25,100,Jul
393,11-10-2023,CUST393,Female,22,Beauty,2,500,1000,Oct
981,19-08-2023,CUST981,Female,30,Electronics,2,30,60,Aug
610,03-01-2023,CUST610,Female,26,Beauty,2,300,600,Jan
270,26-07-2023,CUST270,Male,43,Electronics,1,300,300,Jul
466,20-06-2023,CUST466,Male,63,Electronics,4,25,100,Jun
861,17-02-2023,CUST861,Female,41,Clothing,3,30,90,Feb
125,08-08-2023,CUST125,Male,48,Clothing,2,50,100,Aug
172,17-09-2023,CUST172,Male,32,Beauty,2,25,50,Sep
581,21-11-2023,CUST581,Female,48,Beauty,2,30,60,Nov
4,21-05-2023,CUST004,Male,37,Clothing,1,500,500,May
391,05-01-2023,CUST391,Male,19,Beauty,2,25,50,Jan
908,29-12-2023,CUST908,,46,Beauty,4,300,1200,Dec
603,16-07-2023,CUST603,Female,40,Clothing,3,30,90,Jul
453,08-12-2023,CUST453,Female,26,Clothing,2,500,1000,Dec
811,19-05-2023,CUST811,Male,61,clothng,2,25,50,May
519,23-01-2023,CUST519,Female,36,Electronics,4,30,120,Jan
477,24-04-2023,CUST477,Male,43,Clothing,4,30,120,Apr
21,14-01-2023,  CUST021  ,Female,50,Beauty,1,500,500,Jan
740,05-02-2023,CUST740,,25,Beauty,4,50,200,Feb
23,12-04-2023,CUST023,Female,35,,4,30,120,Apr
155,17-05-2023,CUST155,Male,31,Electronics,4,,2000,May
933,03-02-2023,CUST933,Male,22,Beauty,1,30,30,Feb
51,02-10-2023,CUST051,Male,27,Beauty,3,25,75,Oct
938,19-11-2023,CUST938,Male,49,Clothing,4,50,200,Nov
75,06-07-2023,CUST075,Male,61,Beauty,4,50,200,Jul
421,02-01-2023,CUST421,Female,37,Clothing,3,,1500,Jan
373,03-10-2023,CUST373,Female,25,Beauty,2,300,600,Oct
743,16-01-2023,CUST743,Female,,Beauty,4,500,2000,Jan
226,29-10-2023,CUST226,Female,61,Clothing,1,50,50,Oct
994,18-12-2023,CUST994,Female,51,Beauty,2,500,1000,Dec
439,09-07-2023,CUST439,Male,50,Clothing,3,25,75,Jul
679,11-01-2023,CUST679,Female,18,Beauty,3,30,90,Jan
225,11-01-2023,CUST225,Female,,Beauty,4,25,100,Jan
556,04-06-2023,CUST556,Female,18,Electronics,1,50,50,Jun
468,09-12-2023,CUST468,Male,40,Electronics,1,25,25,Dec
549,04-08-2023,CUST549,Female,50,Beauty,2,50,100,Aug
457,28-07-2023,CUST457,Female,58,Beauty,3,300,900,Jul
288,26-01-2023,CUST288,Male,28,Clothing,4,30,120,Jan
858,09-09-2023,CUST858,Male,23,Electronics,2,50,100,Sep
701,14-12-2023,CUST701,Female,52,Beauty,2,30,60,Dec
273,08-05-2023,CUST273,Female,22,Beauty,1,50,50,May
87,22-11-2023,CUST087,Female,28,Beauty,2,50,100,Nov
613,23-04-2023,CUST613,Female,52,Clothing,3,30,90,Apr
153,16-12-2023,CUST153,Male,63,Electronics,2,500,1000,Dec
676,19-07-2023,CUST676,Male,,Electronics,3,500,1500,Jul
108,19-04-2023,CUST108,Female,27,Beauty,3,25,75,Apr
571,12-12-2023,CUST571,Female,41,Electronics,1,50,50,Dec
302,14-07-2023,CUST302,Male,57,Beauty,2,300,600,Jul
654,21-06-2023,CUST654,,42,Clothing,3,25,75,Jun
308,13.01.2023,CUST308,Female,34,Beauty,4,300,1200,Aug
636,23-03-2023,CUST636,Female,21,Beauty,3,,1500,Mar
110,11-06-2023,CUST110,Male,27,Clothing,3,300,900,Jun
276,02-10-2023,CUST276,Female,21,Beauty,4,25,100,Oct
566,02-12-2023,CUST566,Female,64,Clothing,1,30,30,Dec
698,19-07-2023,CUST698,Female,64,Electronics,1,300,300,Jul
946,08-05-2023,CUST946,Male,,Electronics,4,500,2000,May
999,05-12-2023,CUST999,Female,36,Electronics,3,50,150,Dec
724,19-04-2023,CUST724,Male,61,Clothing,3,50,150,Apr
671,27-08-2023,CUST671,Male,62,Electronics,3,50,150,Aug
727,22-06-2023,CUST727,Male,55,Beauty,3,300,900,jan
137,18-11-2023,CUST137,Male,46,Beauty,2,500,1000,Nov
168,24-02-2023,CUST168,Male,53,Clothing,1,300,300,Feb
683,04-01-2023,CUST683,Male,38,Beauty,2,500,1000,Jan
494,18-09-2023,CUST494,Female,42,Beauty,4,50,200,Sep
384,13-08-2023,CUST384,Male,55,Clothing,1,500,500,Aug
419,22-05-2023,CUST419,Female,44,Clothing,3,30,90,May
254,28-07-2023,CUST254,Male,-99,Electronics,1,500,500,Jul
47,06-11-2023,CUST047,Female,40,Beauty,3,500,1500,Nov
579,21-09-2023,CUST579,Female,38,Electronics,1,30,,Sep
657,11-02-2023,CUST657,Male,40,Clothing,1,25,,Feb
127,24-07-2023,CUST127,Female,33,Clothing,2,25,50,Jul
686,19-07-2023,CUST686,Female,28,Electronics,4,50,200,Jul
988,28-05-2023,CUST988,Female,63,Clothing,3,25,75,May
964,31-01-2023,CUST964,Male,24,Clothing,3,300,900,Jan
655,13-06-2023,CUST655,Female,55,Clothing,1,500,500,Jun
650,01-01-2024,CUST650,Male,55,Electronics,1,30,30,Jan
